$ hermes skills list
exit=0

STDOUT:
                                Installed Skills                                
┏━━━━━━━━━━━━━━━━━━━━━━━┳━━━━━━━━━━━━━━━━━━━━━━┳━━━━━━━━━━┳━━━━━━━━━━┳━━━━━━━━━┓
┃ Name                  ┃ Category             ┃ Source   ┃ Trust    ┃ Status  ┃
│ weekly-review-planni… │ productivity         │ builtin  │ builtin  │ enabled │
│ xlsx                  │ productivity         │ builtin  │ builtin  │ enabled │
│ godmode               │ red-teaming          │ local    │ local    │ enabled │
│ arxiv                 │ research             │ builtin  │ builtin  │ enabled │
│ blocked-page-recovery │ research             │ builtin  │ builtin  │ enabled │
│ blogwatcher           │ research             │ builtin  │ builtin  │ enabled │
│ competitor-news-moni… │ research             │ builtin  │ builtin  │ enabled │
│ grounded-citations    │ research             │ builtin  │ builtin  │ enabled │
│ llm-wiki              │ research             │ builtin  │ builtin  │ enabled │
│ polymarket            │ research             │ local    │ local    │ enabled │
│ research-paper-writi… │ research             │ builtin  │ builtin  │ enabled │
│ openhue               │ smart-home           │ builtin  │ builtin  │ enabled │
│ xurl                  │ social-media         │ builtin  │ builtin  │ enabled │
│ agenttalk-operator-s… │ software-development │ local    │ local    │ enabled │
│ browser-element-agen… │ software-development │ local    │ local    │ enabled │
│ debugging-hermes-tui… │ software-development │ local    │ local    │ enabled │
│ dogfood               │ software-development │ builtin  │ builtin  │ enabled │
│ falsification-and-fe… │ software-development │ local    │ local    │ enabled │
│ hermes-agent-skill-a… │ software-development │ builtin  │ builtin  │ enabled │
│ hermes-hmp            │ software-development │ local    │ local    │ enabled │
│ hermes-s6-container-… │ software-development │ local    │ local    │ enabled │
│ inspecting-hermes-de… │ software-development │ builtin  │ builtin  │ enabled │
│ loop-coding-guidelin… │ software-development │ local    │ local    │ enabled │
│ multi-agent-orchestr… │ software-development │ local    │ local    │ enabled │
│ node-inspect-debugger │ software-development │ builtin  │ builtin  │ enabled │
│ plan                  │ software-development │ builtin  │ builtin  │ enabled │
│ python-debugpy        │ software-development │ builtin  │ builtin  │ enabled │
│ requesting-code-revi… │ software-development │ builtin  │ builtin  │ enabled │
│ simplify-code         │ software-development │ builtin  │ builtin  │ enabled │
│ skill-repo-hosting    │ software-development │ local    │ local    │ enabled │
│ spike                 │ software-development │ builtin  │ builtin  │ enabled │
│ subagent-driven-deve… │ software-development │ local    │ local    │ enabled │
│ systematic-debugging  │ software-development │ builtin  │ builtin  │ enabled │
│ test-driven-developm… │ software-development │ builtin  │ builtin  │ enabled │
│ verifying-agent-clai… │ software-development │ local    │ local    │ enabled │
│ writing-plans         │ software-development │ local    │ local    │ enabled │
│ ai-cli-quota-monitor… │ sysadmin             │ local    │ local    │ enabled │
└───────────────────────┴──────────────────────┴──────────┴──────────┴─────────┘
3 hub-installed, 81 builtin, 44 local — 128 enabled, 0 disabled



STDERR:

